,Respiratory Infectious ,Maternal conditions,Neonatal conditions,Nutritional deficiencies,Malignant neoplasms,Other neoplasms,Diabetes mellitus,"Endocrine, blood, immune disorders",Mental and substance use disorders,Neurological conditions,Cardiovascular diseases,Respiratory diseases,Digestive diseases,Genitourinary diseases,Skin diseases,Musculoskeletal diseases,Congenital anomalies,Sudden infant death syndrome,Unintentional injuries,Intentional injuries
Albania,0.3094277935978212,-0.13303802104754733,1.5876067713016269,-0.9691764575402727,-1.0714912101905105,-1.012997918860432,-0.7939678790170892,-0.43286321070786743,-0.9764632984318884,1.5447367290248293,1.2980336794293317,0.2127665756295784,-0.7673689566835488,-0.13033332321692956,-1.2013906527281353,-0.611750515972749,0.7648688588866678,-0.9073264670990742,-0.02681995567589309,-0.8271548288512435
Armenia,2.6188157165474126,1.8625322946656704,1.872805592493536,-0.7432026721034214,0.30540639182308266,-0.6470640376207115,0.8873758647838058,-0.9014264800308169,-0.9764632984318884,-1.766840501014388,0.5976197287459797,-0.056558203648368624,0.8501334682259244,0.7427009601636504,-0.060829906467247244,-0.611750515972749,3.980967539891241,-0.9073264670990742,1.0645239853910298,-0.9786175645513693
Australia,-0.8792277549791744,-0.13303802104754733,-0.5038512507723727,-0.06528131579286779,-1.0201144339959736,-0.019748812638334175,-0.22914146508397604,1.3744522566806514,0.3649317045018344,0.39092927783469505,-1.0001548356451844,0.14543538081009164,-0.9083819885987335,-0.6004287065757032,0.8516186905414631,1.3200932186780376,-0.4668285083065735,0.04220123102786337,-0.83569840611373,0.17628579516209059
Austria,-1.0490356904901739,-0.13303802104754733,-0.6939837982336454,0.3866662550808345,-0.6502016453953067,0.5030138748469805,-0.22914146508397604,2.0438283557134365,-0.1634966299872079,-0.31334280276188065,-0.6384891453639033,-0.23161931017903428,-0.5848815036168389,-0.06317683987996173,-0.5170542049716023,-0.008049348894378194,0.4227307013329894,0.04220123102786337,-0.3478034677543998,-0.08877399231312975
Azerbaijan,1.3282754066638174,3.8581026103788885,4.201929298894127,-0.5172288866665703,-1.8986573069225565,-1.1175504563574945,1.9382157046593653,0.303450498228196,-0.6512766310540163,-0.12603639834789782,2.746844949605631,0.886078523824446,2.011417260468623,2.5559260102617776,-1.2013906527281353,-1.5776723832981423,1.2438622794618166,0.04220123102786337,0.46107498268343716,-0.9407518806263377
Belarus,-0.8792277549791744,-1.1308231789041563,-0.7415169350989637,-0.5172288866665703,-0.10047014011376024,-1.0652741876089633,-1.0566778389859792,-1.1691769196439308,3.45420504459162,-0.48566469482274494,1.2937366613269796,-1.1203910817962597,0.21972226672274509,-0.9138256288148856,-0.9732785034759576,-1.5776723832981423,-0.2615456137743668,0.04220123102786337,1.8348844143794454,1.4069205227256132
Belgium,0.4452741420066208,-0.13303802104754733,-0.5989175245030092,1.5165351822650905,-0.352216343466992,1.6008155185661412,-0.7939678790170892,1.3744522566806514,-0.1634966299872079,0.5257898890127625,-0.8855676862491347,0.7918148510771641,-0.3526247451682991,0.07113612679397356,0.8516186905414631,0.8371322850153411,-0.4668285083065735,0.04220123102786337,-0.2194100629229971,0.7064053701125309
Bosnia and Herzegovina,-0.8282853743258746,-0.13303802104754733,0.3517452128033544,-0.9691764575402727,0.7729350551933694,-1.0652741876089633,3.369984986489815,-1.1691769196439308,-0.7528974646096014,-0.21594347246660953,0.591890371276177,-0.3797479387819053,-0.21161171325311431,0.38453304903315616,-0.74516635422378,-0.8532309828040973,0.21744780680078263,-0.9073264670990742,0.20428817302063182,-0.3538337797883501
Bulgaria,-0.25093839358847686,-0.13303802104754733,0.25667893907271794,-0.7432026721034214,-0.04395568629976978,-0.8561691126148374,-0.28168345707775405,-0.9683640899340953,-0.9154907982985374,-1.5720418404238456,1.2994660187967821,2.1788374643585917,0.5846971728561645,0.4740750268157798,-0.5170542049716023,-1.4569321498824679,0.28587543831151835,-0.9073264670990742,-0.05249863664217354,-0.7324906190386647
Croatia,-0.6245158517126753,-0.13303802104754733,0.0665463916114453,-0.7432026721034214,1.3843186919083605,0.08480372485872884,0.8216983747915834,-1.1022393097406522,-0.14317246327609096,-0.6205253060008127,-0.17369502062617798,-0.3124167439624186,-0.0042396074954895845,1.257567332413736,-1.2013906527281353,-0.24952981572572644,0.21744780680078263,-0.9073264670990742,0.20428817302063182,0.10055442731202759
Cyprus,-1.3377091808588728,-0.13303802104754733,-0.5038512507723727,0.612640040517686,-2.0116862145505383,0.08480372485872884,0.5852594108195824,2.1107659656167153,-0.9358149650096546,-0.35080408364467724,-0.832571129653462,0.7918148510771641,-0.9830359466714784,1.0560978824028329,2.6765158845588837,0.5956518181839926,-1.287960086435401,0.04220123102786337,-0.4890362130689429,-1.3383415618391683
Czechia,0.7848900130286195,-1.1308231789041563,-0.5513843876376909,1.742508967701942,0.4030222665927033,0.18935626235579184,0.677207896808694,0.5042633279380313,-0.4073866305206121,-0.4706801824696264,-0.21523286228224578,-0.12388939846785538,0.21972226672274509,-0.3318027732278323,0.3953943920371081,-0.3702700491414007,-1.0142495603924586,0.04220123102786337,0.24280619447005228,-0.25916956997577145
Denmark,0.24150461939342138,-1.1308231789041563,-0.02851988211919093,0.16069246964398337,0.2334789051507305,0.08480372485872884,-0.15032847709330913,1.106701817067538,0.8323875388575257,0.9453562349000842,-0.9170791523330483,1.8152490123333629,-0.4438684717016541,-0.30941727878217645,-0.2889420557194248,1.3200932186780376,-0.6721114028387806,-1.8568541652260118,-1.2979146635067798,-0.5052965154884761
Estonia,-0.2848999806906766,-0.13303802104754733,-0.9316494825602364,-0.7432026721034214,0.4903627861234157,0.6598426810925749,-0.6888838950295333,-0.16511277109475356,1.5843817071688553,-0.8977387845335073,-0.04693298660679822,-1.6321081624243587,0.4105046040197599,-0.6675851899126709,0.3953943920371081,0.9578725184310148,-0.8773942973709873,-0.9073264670990742,-0.05249863664217354,0.4602784245998266
Finland,-1.5924210841253716,-1.1308231789041563,-0.9316494825602364,-0.9691764575402727,-1.3335127687826491,-0.019748812638334175,-0.8859163650062006,-0.2320503809980321,1.0153050392575789,2.8933428408055057,-0.7000797381642799,-1.295452188326925,-0.2779707870955543,-1.65254694552153,-0.9732785034759576,-0.008049348894378194,0.012164912268575603,0.04220123102786337,-0.2964461058218389,0.5928083183374366
France,-0.6924390259170752,-0.13303802104754733,-0.07605301898450915,3.098351680323049,0.141000708000564,1.130329099829358,-0.5969354090404217,1.3744522566806514,-0.06187579643162283,0.2410841543035085,-1.0273692836267458,-0.6221402401320577,-0.6014712720774488,-0.8018981565866061,0.16728224278493029,1.078612751846689,-0.056262719242159774,1.9412566272817384,-0.23224940340613756,-0.16450536016319275
Georgia,0.2924470000467213,2.8603174525222794,1.064742265783127,-0.7432026721034214,-1.1331433416239545,-1.1175504563574945,1.8068607246749202,-0.5667384305144245,-0.6716007977651333,0.05377774988952563,1.7520852589111773,-0.23161931017903428,1.6049679331836786,0.8993994212832418,-0.9732785034759576,-1.3361919164667937,1.380717542483288,0.04220123102786337,1.8220450738963059,-0.29703525390080276
Germany,-0.7603622001214748,-0.13303802104754733,-0.36125184017641826,-0.06528131579286779,-0.3470786658475379,0.5030138748469805,-0.4918514250528659,1.575265086390487,0.12104170396843018,0.031300981359847636,-0.7523601250762274,0.1589016197739887,-0.2779707870955543,0.026365137902661928,-0.060829906467247244,0.4749115847683183,-0.19311798226363114,0.04220123102786337,-0.8485377465968703,-0.4295651476384131
Greece,1.0735635033973183,-1.1308231789041563,-0.2661855664457818,-0.7432026721034214,-0.13129620583048215,-0.22885388763245995,-0.7545613850217557,-0.098175161191475,-0.7122491311873673,-0.2908660342322027,-0.6578257268244866,0.2666315314851676,-0.8586126832169035,1.1008688712941446,-0.9732785034759576,-0.3702700491414007,-0.6036837713280448,-0.9073264670990742,-0.15521336050729578,-1.3004758779141368
Hungary,-0.8282853743258746,-0.13303802104754733,-0.4563181139070547,-0.291255101229719,2.1292819467291473,0.24163253110432312,0.13865247887246984,0.4373257180347528,-0.18382079669832502,-0.2534047533494061,0.380620314577211,1.5863229499471077,0.9330823105289743,-0.8242836510322622,-0.060829906467247244,0.7163920515996668,-0.2615456137743668,0.04220123102786337,0.0630554277060887,0.30881568889970057
Iceland,-0.403765535548376,-0.13303802104754733,-0.40878497704173644,0.3866662550808345,-0.8351580396956397,-0.43795896262658573,-0.7939678790170892,-0.2989879909013106,0.46655253805741964,1.6196592907904226,-0.8411651658581656,-0.08349068157616371,-1.1489336312775782,-0.9809821121518533,-0.5170542049716023,-0.008049348894378194,-0.8773942973709873,-0.9073264670990742,-0.8228590656305899,0.1573529531995746
Ireland,0.2245238258423215,-0.13303802104754733,-0.5513843876376909,-0.5172288866665703,-0.352216343466992,0.08480372485872884,-0.7282903890248668,0.303450498228196,-0.28544163025391006,1.304984531374931,-0.8533400504814959,1.4112618434164423,-0.8586126832169035,-0.3765737621191443,-0.060829906467247244,1.1993529852623632,0.012164912268575603,0.04220123102786337,-1.2979146635067798,-0.31596809586331875
Italy,-0.9980933098368739,-1.1308231789041563,-0.40878497704173644,1.0645876113913884,-0.7837812635011027,1.339434174823484,-0.13719297909486466,1.3744522566806514,-0.9154907982985374,-0.22343572864316896,-0.8397328264907151,-0.29895050499852105,-0.9083819885987335,-0.7795126621409504,-0.060829906467247244,0.3541713513526443,-0.4668285083065735,-0.9073264670990742,-0.9897704919114132,-1.2247445100640737
Latvia,-0.013207283873077682,1.8625322946656704,-0.8841163456949183,-0.291255101229719,1.1993622976080274,0.34618506860138615,0.08611048687869183,-0.6336760404177029,0.9746567058353449,-0.5980485374711346,0.7179362356118316,-1.5513107286409749,0.5266329832440296,0.003979643457006114,1.992179436802351,0.5956518181839926,-0.6036837713280448,0.9917289291548006,1.8990811167951467,1.6719803102008333
Lithuania,-0.19999601293517694,-0.13303802104754733,-0.8365832088296,-0.5172288866665703,1.055507324263323,0.2939087998528546,-0.3210899510730875,-0.8344888701275384,0.7917392054352917,-0.8078317104147955,0.5138278757501186,-1.6186419234604617,1.2565827955108688,-0.8914401343692298,0.3953943920371081,1.078612751846689,-0.056262719242159774,1.9412566272817384,1.4625435403683777,2.467159672626494
Luxembourg,-0.7773429936725749,-0.13303802104754733,-0.7890500719642818,2.646404109449347,-0.6142379020591306,0.8689477560867007,-0.7151548910264223,1.106701817067538,-0.28544163025391006,0.05377774988952563,-0.8433136749093416,0.25316529252127007,-0.42727870324104417,-0.48850123434742376,-0.74516635422378,0.23343111793697005,-0.945821928881723,1.9412566272817384,-0.5018755535520829,-0.4484979896009288
Malta,0.7169668388242194,-0.13303802104754733,0.6844771708605817,-0.5172288866665703,-0.8813971382707233,-0.22885388763245995,0.5589884148226936,-0.098175161191475,-0.8545182981651864,-0.1934667039369318,-0.6914857019595761,-0.3393492218902132,-1.0162154835926984,0.22783458791356503,2.448403735306706,-0.12878958231005244,1.1754346479510813,0.04220123102786337,-1.220878620607938,-0.9407518806263377
Montenegro,-0.8113045807747746,-0.13303802104754733,-0.5038512507723727,-0.9691764575402727,0.13072535276165645,-1.1175504563574945,0.7034788928055828,-1.3030521394504877,-0.6309524643428993,-0.17848219158381295,1.3030468672154087,-1.7667705520633323,-0.5102275455440941,0.8770139268375856,-1.2013906527281353,-1.3361919164667937,-1.7669535070105507,0.04220123102786337,0.03737674673980825,1.350121996838066
Netherlands,-0.3698039484461763,-0.13303802104754733,-0.1711192927151456,0.3866662550808345,0.2283412275312771,0.9735002935837637,-0.6100709070388664,0.3703881081314742,-0.4073866305206121,1.3724148369639648,-0.9543199758867645,0.6032875055826014,-0.9664461782108685,-0.3541882676734885,-0.060829906467247244,1.4408334520937118,-0.056262719242159774,-0.9073264670990742,-0.6302689583834858,-0.2781024119382871
North Macedonia,-1.1169588646945736,-0.13303802104754733,0.9221428551871725,-0.9691764575402727,1.4408331457223509,-0.9084453813633688,2.9365135525411468,-1.5038649691603232,-1.0577599652763565,-1.339781898950507,1.8494843358978192,1.8960464461167472,-0.593176387847144,1.3247238157507035,-1.4295028019803127,-1.5776723832981423,-0.8773942973709873,1.9412566272817384,-0.6302689583834858,-0.5620950413760231
Norway,-0.04716887097527744,-1.1308231789041563,-0.8365832088296,1.968482753138793,-0.7991942963594636,0.08480372485872884,-0.7151548910264223,0.303450498228196,0.24298670423513236,1.0127865404891179,-0.969359539244996,0.5898212666187038,-0.9913308309017834,-0.6675851899126709,0.6235065412892856,1.1993529852623632,-0.6036837713280448,0.04220123102786337,-0.8100197251474496,-0.16450536016319275
Poland,1.7867568325435155,-1.1308231789041563,-0.36125184017641826,-0.291255101229719,1.379181014288907,4.580562837232434,0.05983949088180271,-0.9014264800308169,0.9340083724131107,-1.249874824831795,-0.16939800252382617,-0.19122059328734214,0.44368414094097974,-0.6451996954670148,-0.060829906467247244,-0.611750515972749,0.08059254377931128,-0.9073264670990742,0.20428817302063182,-0.25916956997577145
Portugal,1.0565827098462182,-0.13303802104754733,-0.2661855664457818,0.3866662550808345,-0.24432511345846378,-0.12430135013539695,0.0729749888802474,1.6422026962937657,-0.9154907982985374,-0.08108286128854209,-0.8297064509185608,0.1858340977017833,-0.3443298609379943,0.4964605212614356,-0.060829906467247244,0.23343111793697005,-0.6036837713280448,-0.9073264670990742,-0.3349641272712598,-0.6378264092260861
Republic of Moldova,1.5829873099303164,0.8647471368090617,2.4432032348773545,-1.195150242977124,-0.07478175201649172,-0.5947877688721801,-0.4393094330590879,-1.2361145295472094,-0.1025241298538569,-1.5870263527769641,1.3538949147599053,-0.9318637363016967,3.6040350326871806,-0.7123561788039827,0.3953943920371081,-1.0947114496354455,2.270276752122851,0.04220123102786337,1.8605630953457262,0.8200024218876253
Romania,2.3980654003831137,0.8647471368090617,-0.2661855664457818,-0.06528131579286779,1.034956613785508,-0.8038928438663059,-0.6363419030357552,-1.4369273592570446,-0.6309524643428993,-1.2873361057145916,0.700748163202424,0.239699053557373,1.7957502704806931,0.6083879934897151,-0.74516635422378,-1.5776723832981423,-0.32997324528510247,-0.9073264670990742,0.8334158566945048,-0.5620950413760231
Russian Federation,0.5301781097621204,0.8647471368090617,-0.2661855664457818,-0.7432026721034214,0.42357297707051694,-1.0652741876089633,-0.41303843706219895,-1.1022393097406522,2.9257767101025776,-0.5381104880586601,1.1325984824887851,-0.9183974973377994,1.4639549012684936,-0.21987530099955283,1.3078429890458183,-0.7324907493884231,0.14902017529004696,2.890784325408676,2.6951202267498435,3.2812718770146705
Serbia,-0.2848999806906766,0.8647471368090617,0.3517452128033544,0.8386138259545372,1.9237748419509992,0.5552901435955119,1.1763568207495845,-0.43286321070786743,-0.38706246380949516,-0.08108286128854209,0.6735337152208621,1.155403303102393,-0.037419144416709724,2.958864910283584,0.16728224278493029,-0.3702700491414007,-0.4668285083065735,0.04220123102786337,-0.9127344490125716,-0.46743083156344445
Slovakia,1.3792177873171174,-0.13303802104754733,-0.12358615584982736,-0.291255101229719,1.862122710517554,-0.699340306369243,-0.3736319430668654,-0.5667384305144245,-0.48868329736508015,1.447337398729558,-0.37350636238553914,-1.0934586038684648,0.8667232366865341,-0.04079134543430591,2.220291586054529,-0.7324907493884231,0.5595859643544604,0.04220123102786337,1.180078049739292,-0.22130388605074008
Slovenia,-1.0829972775923737,-0.13303802104754733,-0.7415169350989637,-1.195150242977124,0.6958698909015638,-0.5947877688721801,-0.5575289150450884,-0.2989879909013106,1.7469750408577915,-0.9501845777694224,-0.6184363942195946,-1.0934586038684648,-0.3692145136289093,-1.3391500232823477,-1.2013906527281353,0.4749115847683183,-0.6721114028387806,-1.8568541652260118,0.20428817302063182,0.630674002262468
Spain,-0.709419819468175,-1.1308231789041563,-0.5038512507723727,0.3866662550808345,-0.9584623025625288,0.5552901435955119,-0.6888838950295333,0.7720137675511451,-0.8545182981651864,0.21860738577383051,-0.9686433695612706,0.7514161341854725,-0.6097661563077539,-0.21987530099955283,0.8516186905414631,1.8030541523407342,-0.8773942973709873,0.04220123102786337,-1.1951999396416577,-1.0543489324014323
Sweden,-0.6414966452637753,-0.13303802104754733,-0.7890500719642818,0.8386138259545372,-1.21020850591576,0.6598426810925749,-0.4393094330590879,0.23651288832491743,0.1413658706795473,0.967833003429762,-0.8132345481928787,-0.29895050499852105,-0.9166768728290384,-0.7347416732496385,0.16728224278493029,0.3541713513526443,-0.32997324528510247,0.04220123102786337,-0.9384131299788523,0.42241274067479495
Switzerland,-0.8792277549791744,-0.13303802104754733,-0.4563181139070547,0.3866662550808345,-1.2358968940130284,0.24163253110432312,-0.7676968830202002,0.303450498228196,-0.38706246380949516,0.5257898890127625,-0.939280412528533,-0.7164039128793391,-0.8834973359078186,-0.7571271676952943,-0.2889420557194248,1.6823139189250598,0.21744780680078263,0.04220123102786337,-0.9897704919114132,-0.2023710440882241
Turkey,0.377350967802221,-0.13303802104754733,1.3974742238403544,1.0645876113913884,0.8859639628213503,-0.8561691126148374,1.2945763027355852,0.1695752784216389,-0.9561391317207715,-0.11854414217133866,-0.27825579445007304,1.4112618434164423,-0.7839587251441587,2.3992275491421866,-0.5170542049716023,-0.611750515972749,1.8597109630584374,0.9917289291548006,-0.5789115964509247,-0.7324906190386647
Ukraine,-0.19999601293517694,-0.13303802104754733,0.7320103077258997,-0.7432026721034214,0.3619208456370731,-1.1175504563574945,-0.9515938549984231,-1.3699897493537665,1.2795192065021002,-0.6280175621773718,1.53795052347731,-1.295452188326925,1.0658004582138543,-1.0929095843801326,-0.5170542049716023,-1.4569321498824679,0.9701517534188745,0.9917289291548006,1.5010615618177992,2.3535626208514
United Kingdom,1.396198580868217,-0.13303802104754733,-0.12358615584982736,-0.7432026721034214,-0.3984554420420749,0.03252745611019733,-0.8727808670077563,0.03570005861508179,-0.000903296298271828,2.076686917560541,-0.9127821342306965,0.8726122848605484,-0.21990659748341942,-0.8690546399235738,1.3078429890458183,1.3200932186780376,-0.12469035075289545,0.9917289291548006,-1.066806534810255,-0.6188935672635705
